32.0,35.0,82.0
35.0,67.0,46.0
37.0,12.0,6.0
3.0,91.0,15.0
9.0,70.0,5.0
25.0,1.0,25.0
96.0,18.0,18.0
31.0,85.0,23.0
10.0,53.0,29.0
77.0,29.0,30.0
28.0,54.0,47.0
63.0,7.0,42.0
26.0,64.0,24.0
12.0,43.0,77.0
34.0,73.0,22.0
34.0,28.0,37.0
99.0,2.0,3.0
34.0,70.0,9.0
57.0,8.0,79.0
21.0,3.0,36.0
47.0,82.0,16.0
50.0,6.0,50.0
12.0,94.0,25.0
5.0,30.0,23.0
61.0,49.0,35.0
24.0,53.0,34.0
60.0,11.0,35.0
62.0,34.0,27.0
60.0,40.0,2.0
88.0,14.0,2.0
22.0,2.0,14.0
41.0,4.0,7.0
35.0,33.0,76.0
8.0,14.0,28.0
18.0,24.0,59.0
9.0,20.0,21.0
23.0,19.0,91.0
12.0,6.0,31.0
86.0,17.0,17.0
3.0,35.0,39.0
8.0,59.0,64.0
98.0,21.0,21.0
27.0,27.0,12.0
91.0,17.0,18.0
83.0,1.0,49.0
29.0,57.0,45.0
44.0,29.0,11.0
49.0,59.0,2.0
