+---------------------+---------------+---------------+-------------+-----------------+--------+-------------+
| 날짜/시간           | 내부온도(°C) | 외부온도(°C) | 내부습도(%) | 외부광량(W/m²) | CO2(%) | 산소농도(%) |
+---------------------+---------------+---------------+-------------+-----------------+--------+-------------+
| 2026-04-09 18:14:11 | 24            | 15            | 50          | 710             | 0.0869 | 5           |
| 2026-04-09 18:17:41 | 24            | 4             | 51          | 567             | 0.0729 | 4           |
| 2026-04-09 18:17:46 | 26            | 15            | 59          | 623             | 0.0439 | 5           |
| 2026-04-09 18:17:52 | 23            | 3             | 58          | 514             | 0.0746 | 7           |
| 2026-04-09 18:17:57 | 27            | 20            | 59          | 517             | 0.0219 | 7           |
| 2026-04-09 18:18:02 | 18            | 20            | 56          | 617             | 0.0295 | 6           |
| 2026-04-09 18:18:07 | 27            | 11            | 57          | 663             | 0.0561 | 5           |
| 2026-04-09 18:20:10 | 23            | 5             | 57          | 527             | 0.0998 | 6           |
| 2026-04-09 18:20:21 | 29            | 4             | 55          | 581             | 0.0667 | 6           |
| 2026-04-09 18:21:04 | 19            | 16            | 55          | 672             | 0.0713 | 7           |
| 2026-04-09 18:21:10 | 22            | 20            | 52          | 623             | 0.0749 | 4           |
| 2026-04-09 18:21:15 | 24            | 19            | 57          | 576             | 0.0463 | 6           |
| 2026-04-09 18:26:01 | 20            | 1             | 52          | 535             | 0.0875 | 4           |
| 2026-04-09 18:26:17 | 25            | 9             | 54          | 591             | 0.0304 | 6           |
| 2026-04-09 18:26:22 | 25            | 7             | 55          | 651             | 0.0269 | 4           |
| 2026-04-09 18:26:28 | 20            | 3             | 58          | 651             | 0.0586 | 6           |
| 2026-04-09 18:26:33 | 23            | 4             | 60          | 694             | 0.0323 | 5           |
| 2026-04-09 18:26:39 | 24            | 20            | 60          | 553             | 0.095  | 6           |
| 2026-04-09 18:26:44 | 29            | 9             | 56          | 581             | 0.0327 | 6           |
| 2026-04-09 18:26:49 | 21            | 13            | 60          | 587             | 0.0509 | 4           |
| 2026-04-09 18:26:54 | 25            | 5             | 51          | 606             | 0.0282 | 5           |
| 2026-04-09 18:26:59 | 29            | 21            | 56          | 691             | 0.0369 | 6           |
| 2026-04-09 18:27:04 | 28            | 16            | 60          | 663             | 0.0324 | 7           |
| 2026-04-09 18:27:09 | 25            | 18            | 51          | 685             | 0.0451 | 6           |
| 2026-04-09 18:27:15 | 27            | 9             | 60          | 605             | 0.1    | 7           |
| 2026-04-09 18:27:20 | 26            | 13            | 55          | 672             | 0.0998 | 6           |
| 2026-04-09 18:27:25 | 23            | 14            | 52          | 703             | 0.0749 | 7           |
| 2026-04-09 18:27:30 | 30            | 12            | 53          | 657             | 0.0503 | 6           |
| 2026-04-09 18:27:35 | 26            | 3             | 56          | 703             | 0.0339 | 6           |
| 2026-04-09 18:27:40 | 18            | 2             | 50          | 696             | 0.0475 | 4           |
| 2026-04-09 18:27:45 | 19            | 6             | 50          | 666             | 0.0308 | 6           |
| 2026-04-09 18:27:50 | 22            | 4             | 57          | 515             | 0.084  | 4           |
| 2026-04-09 18:27:55 | 23            | 5             | 54          | 698             | 0.0981 | 6           |
| 2026-04-09 18:28:00 | 19            | 17            | 58          | 708             | 0.0467 | 4           |
| 2026-04-09 18:28:05 | 23            | 8             | 53          | 523             | 0.0403 | 6           |
| 2026-04-09 18:28:26 | 18            | 4             | 51          | 714             | 0.0972 | 4           |
| 2026-04-09 18:28:31 | 21            | 12            | 55          | 597             | 0.0276 | 4           |
| 2026-04-09 18:30:27 | 30            | 3             | 55          | 555             | 0.0521 | 6           |
| 2026-04-09 18:30:32 | 22            | 17            | 58          | 564             | 0.0277 | 6           |
+---------------------+---------------+---------------+-------------+-----------------+--------+-------------+
